"","age","workclass","education","marital.status","occupation","relationship","race","gender","hrs.per.week","class"
"1",39,"State-gov","Bachelors","Never-married","Adm-clerical","Not-in-family","White","Male",40,"<=50K"
"2",50,"Self-emp-not-inc","Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male",13,"<=50K"
"3",38,"Private","HS-grad","Divorced","Handlers-cleaners","Not-in-family","White","Male",40,"<=50K"
"4",53,"Private","11th","Married-civ-spouse","Handlers-cleaners","Husband","Black","Male",40,"<=50K"
"5",37,"Private","Masters","Married-civ-spouse","Exec-managerial","Wife","White","Female",40,"<=50K"
"6",52,"Self-emp-not-inc","HS-grad","Married-civ-spouse","Exec-managerial","Husband","White","Male",45,">50K"
"7",31,"Private","Masters","Never-married","Prof-specialty","Not-in-family","White","Female",50,">50K"
"8",42,"Private","Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male",40,">50K"
"9",37,"Private","Some-college","Married-civ-spouse","Exec-managerial","Husband","Black","Male",80,">50K"
"10",23,"Private","Bachelors","Never-married","Adm-clerical","Own-child","White","Female",30,"<=50K"
"11",32,"Private","Assoc-acdm","Never-married","Sales","Not-in-family","Black","Male",50,"<=50K"
"12",25,"Self-emp-not-inc","HS-grad","Never-married","Farming-fishing","Own-child","White","Male",35,"<=50K"
"13",32,"Private","HS-grad","Never-married","Machine-op-inspct","Unmarried","White","Male",40,"<=50K"
"14",38,"Private","11th","Married-civ-spouse","Sales","Husband","White","Male",50,"<=50K"
"15",43,"Self-emp-not-inc","Masters","Divorced","Exec-managerial","Unmarried","White","Female",45,">50K"
"16",40,"Private","Doctorate","Married-civ-spouse","Prof-specialty","Husband","White","Male",60,">50K"
"17",54,"Private","HS-grad","Separated","Other-service","Unmarried","Black","Female",20,"<=50K"
"18",35,"Federal-gov","9th","Married-civ-spouse","Farming-fishing","Husband","Black","Male",40,"<=50K"
"19",43,"Private","11th","Married-civ-spouse","Transport-moving","Husband","White","Male",40,"<=50K"
"20",59,"Private","HS-grad","Divorced","Tech-support","Unmarried","White","Female",40,"<=50K"
"21",56,"Local-gov","Bachelors","Married-civ-spouse","Tech-support","Husband","White","Male",40,">50K"
"22",19,"Private","HS-grad","Never-married","Craft-repair","Own-child","White","Male",40,"<=50K"
"23",39,"Private","HS-grad","Divorced","Exec-managerial","Not-in-family","White","Male",80,"<=50K"
"24",49,"Private","HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",40,"<=50K"
"25",23,"Local-gov","Assoc-acdm","Never-married","Protective-serv","Not-in-family","White","Male",52,"<=50K"
"26",20,"Private","Some-college","Never-married","Sales","Own-child","Black","Male",44,"<=50K"
"27",45,"Private","Bachelors","Divorced","Exec-managerial","Own-child","White","Male",40,"<=50K"
"28",30,"Federal-gov","Some-college","Married-civ-spouse","Adm-clerical","Own-child","White","Male",40,"<=50K"
